Species,No. of cornbustions,Dry weight % ash,%H2O,Mean Dry weight KJ/g,SD Dry weight KJ/g,Dry weight ash free KJ/g,Wet weight KJ/g,Source
Acanthocybium solanderi,6,6,,23.4,1.5,24.9,,"Steimle, 1980"
Alosa aestivalis,15,12,69,22.2,0.7,25,7.7,"Steimle, 1980"
Alosa mediocris,5,11,74,21.1,0.4,23.8,5.5,"Steimle, 1980"
Alosa pseudoharengus,24,12,71,21.7,0.5,24.5,6.4,"Steimle, 1980"
Alosa sapidissima,5,11,75,19.6,0.5,22.1,4.9,"Steimle, 1980"
Ammodytes americanus,20,12,69,21.7,0.6,24.8,6.8,"Steimle, 1980"
Anchoa hepsetus,24,16,71,19.9,0.4,23.6,5.8,"Steimle, 1980"
Anchoa mitchilli,5,14,72,21.2,0.5,24.6,5.9,"Steimle, 1980"
Brevoortia tyrannus,10,13,65,21.4,0.4,24.6,7.5,"Steimle, 1980"
Caranx chrysos,5,16,68,17.7,0.3,21.1,5.7,"Steimle, 1980"
Chloroscombrus chrysurus,5,14,63,23.9,0.5,27.9,8.8,"Steimle, 1980"
Citharichthys arctifrons,5,14,78,19.4,0.2,22.5,4.3,"Steimle, 1980"
Clupea harengus,,,,26.61024,,,8.062568,"Cummins, 1971"
Clupea harengus,20,8,57,25.1,2.3,27.2,10.6,"Steimle, 1980"
Conger oceanicus,6,8,67,29.8,1.7,32.4,9.8,"Steimle, 1980"
Cynoscion regalis,4,13,76,20.1,0.7,23,4.8,"Steimle, 1980"
Enchelyopus cimbrius,5,16,80,18,0.6,21.6,3.6,"Steimle, 1980"
Etrumeus teres,17,14,73,20.4,0.5,23.6,5.5,"Steimle, 1980"
Gadus morhua,9,16,78,18.2,0.3,21.6,4.2,"Steimle, 1980"
Hemitripterus americanus,6,16,86,18.1,0.5,21.5,2.5,"Steimle, 1980"
Hippoglossoides platessoides,3,15,77,17.7,0.2,21,4.1,"Steimle, 1980"
Leiostomus xanthurus,11,17,65,20.1,0.5,24,7,"Steimle, 1980"
Limanda ferruginea,12,16,75,17.6,0.6,20.9,4.4,"Steimle, 1980"
Liopsetta putnami,5,17,78,17.1,0.1,20.7,3.8,"Steimle, 1980"
Lophius americanus,6,13,91,18.5,0.8,21.3,1.7,"Steimle, 1980"
Lumpenus maculatus,8,12,71,20.2,0.6,22.2,5.6,"Steimle, 1980"
Macrozoarces americanus,9,13,76,19.2,0.2,22,4.7,"Steimle, 1980"
Melanogrammus aeglefinus,4,17,78,20.3,0.7,24.3,4.5,"Steimle, 1980"
Menidia menidia,10,13,66,21.2,0.7,24.4,7.3,"Steimle, 1980"
Merluccius bilinearis,10,13,79,21.3,0.3,24.6,4.6,"Steimle, 1980"
Myoxocephalus octodecemspinosus,5,17,74,20.8,0.6,25.1,5.4,"Steimle, 1980"
Oecapterus punctatus,5,13,68,18.8,0.4,21.6,6,"Steimle, 1980"
Oncorhynchus garbusha,,,,15.058216,,,6.54796,"Cummins, 1971; Smirnov, 1968"
Oncorhynchus garbusha,,,,16.915912,,,7.058408,"Cummins, 1971; Smirnov, 1968"
Oncorhynchus keta,,,,15.087504,,,6.681848,"Cummins, 1971; Smirnov, 1968"
Oncorhynchus kisutch,,,,14.418064,,,5.778104,"Cummins, 1971; Smirnov, 1968"
Oncorhynchus masu,,,,14.493376,,,6.552144,"Cummins, 1971; Smirnov, 1968"
Oncorhynchus masu,,,,15.761128,,,7.192296,"Cummins, 1971; Smirnov, 1968"
Oncorhynchus nerka,,,,13.99548,,,5.405728,"Cummins, 1971; Smirnov, 1968"
Oncorhynchus nerka,,,,14.418064,,,5.727896,"Cummins, 1971; Smirnov, 1968"
Oncorhynchus tschawytscha,,,,15.267416,,,5.702792,"Cummins, 1971; Smirnov, 1968"
Ophichthus cruentifier,4,14,71,19.8,0.8,22.9,5.8,"Steimle, 1980"
Opisthonema oglinum,5,11,74,24.8,0.9,27.7,6.4,"Steimle, 1980"
Paralichthys oblongus,10,13,75,22,0.3,25.4,5.5,"Steimle, 1980"
Peprilus alepidotus,5,11,73,22.9,0.4,25.8,6.2,"Steimle, 1980"
Peprilus triacanthus,25,11,74,24.2,0.3,27.2,6.2,"Steimle, 1980"
Pollachius virens,5,13,74,19.2,1.8,21.9,5,"Steimle, 1980"
Pomatomus saltatrix,5,20,77,20.8,0.8,25,4.8,"Steimle, 1980"
Prionotus carolinus,5,22,75,17.7,1.1,22.7,4.4,"Steimle, 1980"
Pseudopleuronectes americanus,5,15,78,16.4,0.6,19.4,3.6,"Steimle, 1980"
Salmo salar,,,,14.882488,,,5.83668,"Cummins, 1971; Smirnov, 1968"
Salmo salar,,,,15.31344,,,6.163032,"Cummins, 1971; Smirnov, 1968"
Sardinella aurita,5,14,70,19.9,0.1,23.1,6,"Steimle, 1980"
Scomber japonicus,15,12,71,21.6,0.2,24.4,6.2,"Steimle, 1980"
Scomberesox saurus,5,9,62,22.3,0.7,24.6,8.5,"Steimle, 1980"
Scophthalmus aquosus,3,13,86,22.2,0.2,25.4,3.1,"Steimle, 1980"
Scotnber scombrus,28,8,75,24.1,1.9,26.2,6,"Steimle, 1980"
Sebastes marinus,15,20,75,18.5,1.1,23.1,4.4,"Steimle, 1980"
Selar crumenopthalmus,5,14,70,16.4,6.9,19,4.9,"Steimle, 1980"
Seriola dumerili,3,15,75,18.4,0.4,21.5,4.6,"Steimle, 1980"
Sphoeroides maculatus,4,15,74,19.4,1.2,22.8,5.1,"Steimle, 1980"
Stenotomus chrysops,14,16,73,21.5,0.2,25.6,6.1,"Steimle, 1980"
Symphurus plagiusa,4,16,67,19,0.7,22.7,6.3,"Steimle, 1980"
Synodus foetens,5,17,75,18.3,0.5,22.1,4.6,"Steimle, 1980"
Tautogolabrus adspersus,,,,20.41792,,,4.426672,"Cummins, 1971"
Tautogolabrus adspersus,5,11,70,22.2,0.5,24.9,6.6,"Steimle, 1980"
Thunnus albacares,6,,,23.4,0.6,,,"Steimle, 1980"
Triglops murrayi,5,16,80,18.1,0.6,21.5,3.6,"Steimle, 1980"
Triglops nybelini,5,14,73,19.4,1.2,22.5,5.2,"Steimle, 1980"
Urophycis chuss,10,14,80,19.4,0.5,22.6,3.8,"Steimle, 1980"
Urophycis regia,3,10,78,21.3,0.7,23.6,4.7,"Steimle, 1980"
Urophycis tenuis,3,14,67,19.2,0.3,22.3,6.3,"Steimle, 1980"
Xiphias gladius,59,4,,27.5,0.6,28.8,,"Steimle, 1980"
